City,State,FAA,IATA,ICAO,Airport,Role,Enplanements
Albany,Georgia,ABY,ABY,KABY,Southwest Georgia Regional Airport,P-N,"34,226"
Atlanta,Georgia,ATL,ATL,KATL,Hartsfield¡VJackson Atlanta International Airport,P-L,"50,501,858"
Augusta,Georgia,AGS,AGS,KAGS,Augusta Regional Airport (Bush Field),P-N,"270,797"
Brunswick,Georgia,BQK,BQK,KBQK,Brunswick Golden Isles Airport,P-N,"36,054"
Columbus,Georgia,CSG,CSG,KCSG,Columbus Metropolitan Airport,P-N,"44,813"
Savannah,Georgia,SAV,SAV,KSAV,Savannah/Hilton Head International Airport,P-S,"1,056,265"
Valdosta,Georgia,VLD,VLD,KVLD,Valdosta Regional Airport,P-N,"40,275"
"Hilo, Hawaii",Hawaii,ITO,ITO,PHTO,Hilo International Airport,P-S,"640,757"
"Honolulu, Oahu",Hawaii,HNL,HNL,PHNL,Daniel K. Inouye International Airport,P-L,"9,656,340"
"Kahului, Maui",Hawaii,OGG,OGG,PHOG,Kahului Airport,P-M,"3,352,813"
"Kailua-Kona, Hawaii",Hawaii,KOA,KOA,PHKO,Kona International Airport at Keahole,P-S,"1,569,602"
"Kaunakakai, Molokai",Hawaii,MKK,MKK,PHMK,Molokai Airport,P-N,"92,560"
"Lanai City, Lanai",Hawaii,LNY,LNY,PHNY,Lanai Airport,P-N,"43,275"
"Lihue, Kauai",Hawaii,LIH,LIH,PHLI,Lihue Airport,P-S,"1,458,940"
Boise,Idaho,BOI,BOI,KBOI,Boise Airport (Boise Air Terminal) (Gowen Field),P-S,"1,633,507"
Hailey,Idaho,SUN,SUN,KSUN,Friedman Memorial Airport,P-N,"77,729"
Idaho Falls,Idaho,IDA,IDA,KIDA,Idaho Falls Regional Airport (Fanning Field),P-N,"146,213"
Lewiston,Idaho,LWS,LWS,KLWS,Lewiston-Nez Perce County Airport,P-N,"72,724"
Pocatello / Arbon Valley,Idaho,PIH,PIH,KPIH,Pocatello Regional Airport,P-N,"34,462"
Twin Falls,Idaho,TWF,TWF,KTWF,Magic Valley Regional Airport (Joslin Field),P-N,"38,869"
Belleville,Illinois,BLV,BLV,KBLV,MidAmerica St. Louis Airport / Scott Air Force Base,P-N,"79,988"
Bloomington / Normal,Illinois,BMI,BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal,P-N,"188,490"
Champaign / Urbana,Illinois,CMI,CMI,KCMI,University of Illinois - Willard Airport,P-N,"89,318"
Chicago,Illinois,ORD,ORD,KORD,Chicago O'Hare International Airport,P-L,"37,589,899"
Chicago,Illinois,MDW,MDW,KMDW,Chicago Midway International Airport,P-L,"11,044,387"
Marion,Illinois,MWA,MWA,KMWA,Williamson County Regional Airport,P-N,"10,044"
Moline,Illinois,MLI,MLI,KMLI,Quad City International Airport,P-N,"364,393"
Peoria,Illinois,PIA,PIA,KPIA,General Wayne A. Downing Peoria International Airport,P-N,"307,189"
Quincy,Illinois,UIN,UIN,KUIN,Quincy Regional Airport (Baldwin Field),P-N,"7,847"
Rockford,Illinois,RFD,RFD,KRFD,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),P-N,"101,790"
Springfield,Illinois,SPI,SPI,KSPI,Abraham Lincoln Capital Airport,P-N,"93,269"
Evansville,Indiana,EVV,EVV,KEVV,Evansville Regional Airport,P-N,"204,352"
Fort Wayne,Indiana,FWA,FWA,KFWA,Fort Wayne International Airport,P-N,"360,369"
Indianapolis,Indiana,IND,IND,KIND,Indianapolis International Airport,P-M,"4,216,766"
South Bend,Indiana,SBN,SBN,KSBN,South Bend International Airport (was South Bend Regional),P-N,"329,957"
Cedar Rapids,Iowa,CID,CID,KCID,The Eastern Iowa Airport,P-S,"547,786"
Des Moines,Iowa,DSM,DSM,KDSM,Des Moines International Airport,P-S,"1,216,357"
Dubuque,Iowa,DBQ,DBQ,KDBQ,Dubuque Regional Airport,P-N,"37,954"
Sioux City,Iowa,SUX,SUX,KSUX,Sioux Gateway Airport (Col. Bud Day Field),P-N,"36,413"
Waterloo,Iowa,ALO,ALO,KALO,Waterloo Regional Airport,P-N,"27,069"
Garden City,Kansas,GCK,GCK,KGCK,Garden City Regional Airport,P-N,"26,825"
Manhattan,Kansas,MHK,MHK,KMHK,Manhattan Regional Airport,P-N,"63,761"
Topeka,Kansas,FOE,FOE,KFOE,Topeka Regional Airport (formerly Forbes Field Airport),P-N,"6,051"
Wichita,Kansas,ICT,ICT,KICT,Wichita Dwight D. Eisenhower National Airport (formerly Wichita Mid-Continent Airport),P-S,"781,944"
Cincinnati/Covington,Kentucky,CVG,CVG,KCVG,Cincinnati/Northern Kentucky International Airport,P-M,"3,269,979"
Lexington,Kentucky,LEX,LEX,KLEX,Blue Grass Airport,P-S,"638,316"
Louisville,Kentucky,SDF,SDF,KSDF,Louisville International Airport (Standiford Field),P-S,"1,631,494"
Owensboro,Kentucky,OWB,OWB,KOWB,Owensboro-Daviess County Regional Airport,P-N,"23,537"
Paducah,Kentucky,PAH,PAH,KPAH,Barkley Regional Airport,P-N,"20,266"
Alexandria,Louisiana,AEX,AEX,KAEX,Alexandria International Airport,P-N,"129,776"
Baton Rouge,Louisiana,BTR,BTR,KBTR,Baton Rouge Metropolitan Airport (Ryan Field),P-N,"364,200"
Lafayette,Louisiana,LFT,LFT,KLFT,Lafayette Regional Airport,P-N,"206,667"
Lake Charles,Louisiana,LCH,LCH,KLCH,Lake Charles Regional Airport,P-N,"53,576"
Monroe,Louisiana,MLU,MLU,KMLU,Monroe Regional Airport,P-N,"102,342"
New Orleans,Louisiana,MSY,MSY,KMSY,Louis Armstrong New Orleans International Airport,P-M,"5,569,705"
Shreveport,Louisiana,SHV,SHV,KSHV,Shreveport Regional Airport,P-N,"270,395"
Bangor,Maine,BGR,BGR,KBGR,Bangor International Airport,P-N,"269,013"
Portland,Maine,PWM,PWM,KPWM,Portland International Jetport,P-S,"886,343"
Presque Isle,Maine,PQI,PQI,KPQI,Northern Maine Regional Airport at Presque Isle,P-N,"12,526"
Rockland,Maine,RKD,RKD,KRKD,Knox County Regional Airport,P-N,"16,206"
Baltimore / Glen Burnie,Maryland,BWI,BWI,KBWI,Baltimore/Washington International Thurgood Marshall Airport,P-L,"12,340,972"
Hagerstown,Maryland,HGR,HGR,KHGR,Hagerstown Regional Airport (Richard A. Henson Field),P-N,"27,274"
Salisbury,Maryland,SBY,SBY,KSBY,Salisbury-Ocean City Wicomico Regional Airport,P-N,"58,695"
Boston,Massachusetts,BOS,BOS,KBOS,Gen. Edward Lawrence Logan International Airport,P-L,"17,759,044"
Hyannis,Massachusetts,HYA,HYA,KHYA,Barnstable Municipal Airport (Boardman/Polando Field),P-N,"31,027"
Nantucket,Massachusetts,ACK,ACK,KACK,Nantucket Memorial Airport,P-N,"126,197"
Provincetown,Massachusetts,PVC,PVC,KPVC,Provincetown Municipal Airport,P-N,"10,074"
Vineyard Haven,Massachusetts,MVY,MVY,KMVY,Martha's Vineyard Airport,P-N,"54,084"
Worcester,Massachusetts,ORH,ORH,KORH,Worcester Regional Airport,P-N,"57,800"
Alpena,Michigan,APN,APN,KAPN,Alpena County Regional Airport,P-N,"10,031"
Detroit / Romulus,Michigan,DTW,DTW,KDTW,Detroit Metropolitan Wayne County Airport,P-L,"16,847,135"
Escanaba,Michigan,ESC,ESC,KESC,Delta County Airport,P-N,"16,822"
Flint,Michigan,FNT,FNT,KFNT,Bishop International Airport,P-S,"398,508"
Grand Rapids,Michigan,GRR,GRR,KGRR,Gerald R. Ford International Airport,P-S,"1,334,979"
Hancock / Calumet,Michigan,CMX,CMX,KCMX,Houghton County Memorial Airport,P-N,"25,439"
Iron Mountain / Kingsford,Michigan,IMT,IMT,KIMT,Ford Airport,P-N,"12,604"
Kalamazoo / Battle Creek,Michigan,AZO,AZO,KAZO,Kalamazoo/Battle Creek International Airport,P-N,"154,242"
Lansing,Michigan,LAN,LAN,KLAN,Capital Region International Airport (was Lansing Capital City),P-N,"161,863"
Marquette / Gwinn,Michigan,SAW,MQT,KSAW,Sawyer International Airport,P-N,"45,462"
Muskegon,Michigan,MKG,MKG,KMKG,Muskegon County Airport,P-N,"18,165"
Pellston,Michigan,PLN,PLN,KPLN,Pellston Regional Airport of Emmet County,P-N,"25,497"
Saginaw,Michigan,MBS,MBS,KMBS,MBS International Airport,P-N,"122,469"
Sault Ste. Marie,Michigan,CIU,CIU,KCIU,Chippewa County International Airport,P-N,"20,974"
Traverse City,Michigan,TVC,TVC,KTVC,Cherry Capital Airport (was Cherry County Airpark),P-N,"223,924"
Bemidji,Minnesota,BJI,BJI,KBJI,Bemidji Regional Airport,P-N,"25,510"
Brainerd,Minnesota,BRD,BRD,KBRD,Brainerd Lakes Regional Airport,P-N,"18,200"
Duluth,Minnesota,DLH,DLH,KDLH,Duluth International Airport,P-N,"124,284"
Hibbing,Minnesota,HIB,HIB,KHIB,Range Regional Airport (was Chisholm¡VHibbing Airport),P-N,"12,654"
International Falls,Minnesota,INL,INL,KINL,Falls International Airport,P-N,"13,831"
Minneapolis,Minnesota,MSP,MSP,KMSP,Minneapolis¡VSt. Paul International Airport (Wold¡VChamberlain Field),P-L,"18,123,844"
Rochester,Minnesota,RST,RST,KRST,Rochester International Airport,P-N,"112,864"
St. Cloud,Minnesota,STC,STC,KSTC,St. Cloud Regional Airport,P-N,"15,615"
Columbus / West Point / Starkville,Mississippi,GTR,GTR,KGTR,Golden Triangle Regional Airport,P-N,"40,823"
Gulfport / Biloxi,Mississippi,GPT,GPT,KGPT,Gulfport¡VBiloxi International Airport,P-N,"305,157"
Jackson,Mississippi,JAN,JAN,KJAN,Jackson¡VEvers International Airport,P-S,"491,464"
Columbia,Missouri,COU,COU,KCOU,Columbia Regional Airport,P-N,"65,014"
Joplin,Missouri,JLN,JLN,KJLN,Joplin Regional Airport,P-N,"27,930"
Kansas City,Missouri,MCI,MCI,KMCI,Kansas City International Airport (originally Mid-Continent International Airport),P-M,"5,391,557"
Springfield,Missouri,SGF,SGF,KSGF,Springfield-Branson National Airport,P-N,"462,126"
St. Louis,Missouri,STL,STL,KSTL,St. Louis Lambert International Airport,P-M,"6,793,076"
Billings,Montana,BIL,BIL,KBIL,Billings Logan International Airport,P-S,"423,213"
Bozeman,Montana,BZN,BZN,KBZN,Bozeman Yellowstone International Airport (was Gallatin Field Airport),P-S,"553,245"
Butte,Montana,BTM,BTM,KBTM,Bert Mooney Airport,P-N,"25,890"
Great Falls,Montana,GTF,GTF,KGTF,Great Falls International Airport,P-N,"176,730"
Helena,Montana,HLN,HLN,KHLN,Helena Regional Airport,P-N,"103,239"
Kalispell,Montana,GPI,FCA,KGPI,Glacier Park International Airport,P-N,"247,816"
Missoula,Montana,MSO,MSO,KMSO,Missoula International Airport,P-S,"381,582"
Sidney,Montana,SDY,SDY,KSDY,Sidney¡VRichland Municipal Airport,P-N,"8,065"
Grand Island,Nebraska,GRI,GRI,KGRI,Central Nebraska Regional Airport,P-N,"68,879"
Lincoln,Nebraska,LNK,LNK,KLNK,Lincoln Airport (was Lincoln Municipal),P-N,"162,876"
Omaha,Nebraska,OMA,OMA,KOMA,Eppley Airfield,P-M,"2,127,387"
Boulder City,Nevada,BVU,BLD,KBVU,Boulder City Municipal Airport,P-N,"211,615"
Elko,Nevada,EKO,EKO,KEKO,Elko Regional Airport (J.C. Harris Field),P-N,"14,893"
Las Vegas,Nevada,LAS,LAS,KLAS,McCarran International Airport,P-L,"22,833,267"
Las Vegas / North Las Vegas,Nevada,VGT,VGT,KVGT,North Las Vegas Airport,P-N,"15,828"
Reno,Nevada,RNO,RNO,KRNO,Reno/Tahoe International Airport,P-S,"1,771,864"
Lebanon,New Hampshire,LEB,LEB,KLEB,Lebanon Municipal Airport,P-N,"10,245"
Manchester,New Hampshire,MHT,MHT,KMHT,Manchester¡VBoston Regional Airport,P-S,"995,403"
Portsmouth,New Hampshire,PSM,PSM,KPSM,Portsmouth International Airport at Pease,P-N,"73,247"
Atlantic City,New Jersey,ACY,ACY,KACY,Atlantic City International Airport,P-S,"589,091"
Trenton,New Jersey,TTN,TTN,KTTN,Trenton Mercer Airport,P-N,"278,436"
Newark,New Jersey,EWR,EWR,KEWR,Newark Liberty International Airport,P-L,"19,923,009"
Albuquerque,New Mexico,ABQ,ABQ,KABQ,Albuquerque International Sunport,P-M,"2,341,719"
Hobbs,New Mexico,HOB,HOB,KHOB,Lea County Regional Airport,P-N,"14,707"
Roswell,New Mexico,ROW,ROW,KROW,Roswell International Air Center,P-N,"44,378"
Santa Fe,New Mexico,SAF,SAF,KSAF,Santa Fe Regional Airport,P-N,"71,252"
Albany,New York,ALB,ALB,KALB,Albany International Airport,P-S,"1,393,666"
Binghamton,New York,BGM,BGM,KBGM,Greater Binghamton Airport (Edwin A. Link Field),P-N,"33,425"
Buffalo,New York,BUF,BUF,KBUF,Buffalo Niagara International Airport,P-M,"2,348,512"
Elmira / Corning,New York,ELM,ELM,KELM,Elmira/Corning Regional Airport,P-N,"126,472"
Farmingdale,New York,FRG,FRG,KFRG,Republic Airport,P-N,"10,910"
Islip,New York,ISP,ISP,KISP,Long Island MacArthur Airport,P-S,"648,593"
Ithaca,New York,ITH,ITH,KITH,Ithaca Tompkins Regional Airport,P-N,"97,212"
New York,New York,JFK,JFK,KJFK,John F. Kennedy International Airport (was New York International Airport),P-L,"29,533,154"
New York,New York,LGA,LGA,KLGA,LaGuardia Airport (and Marine Air Terminal),P-L,"14,614,802"
Newburgh,New York,SWF,SWF,KSWF,Stewart International Airport,P-N,"228,640"
Niagara Falls,New York,IAG,IAG,KIAG,Niagara Falls International Airport,P-N,"142,605"
Plattsburgh,New York,PBG,PBG,KPBG,Plattsburgh International Airport,P-N,"139,398"
Rochester,New York,ROC,ROC,KROC,Greater Rochester International Airport,P-S,"1,205,774"
Syracuse,New York,SYR,SYR,KSYR,Syracuse Hancock International Airport,P-S,"1,013,149"
Watertown,New York,ART,ART,KART,Watertown International Airport,P-N,"22,785"
White Plains,New York,HPN,HPN,KHPN,Westchester County Airport,P-S,"759,334"
Asheville,North Carolina,AVL,AVL,KAVL,Asheville Regional Airport,P-N,"416,939"
Charlotte,North Carolina,CLT,CLT,KCLT,Charlotte/Douglas International Airport,P-L,"21,511,880"
Concord,North Carolina,JQF,USA,KJQF,Concord Regional Airport,P-N,"90,338"
Fayetteville,North Carolina,FAY,FAY,KFAY,Fayetteville Regional Airport (Grannis Field),P-N,"224,541"
Greensboro,North Carolina,GSO,GSO,KGSO,Piedmont Triad International Airport,P-S,"848,261"
Greenville,North Carolina,PGV,PGV,KPGV,Pitt-Greenville Airport,P-N,"47,457"
Jacksonville,North Carolina,OAJ,OAJ,KOAJ,Albert J. Ellis Airport,P-N,"149,987"
New Bern,North Carolina,EWN,EWN,KEWN,Coastal Carolina Regional Airport (was Craven County Regional),P-N,"106,110"
Raleigh,North Carolina,RDU,RDU,KRDU,Raleigh-Durham International Airport,P-M,"5,401,714"
Wilmington,North Carolina,ILM,ILM,KILM,Wilmington International Airport,P-N,"413,185"
Bismarck,North Dakota,BIS,BIS,KBIS,Bismarck Municipal Airport,P-N,"273,980"
Dickinson,North Dakota,DIK,DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport,P-N,"16,822"
Fargo,North Dakota,FAR,FAR,KFAR,Hector International Airport,P-S,"402,976"
Grand Forks,North Dakota,GFK,GFK,KGFK,Grand Forks International Airport,P-N,"132,557"
Minot,North Dakota,MOT,MOT,KMOT,Minot International Airport,P-N,"150,634"
Williston,North Dakota,ISN,ISN,KISN,Sloulin Field International Airport,P-N,"68,829"
Akron / Canton,Ohio,CAK,CAK,KCAK,Akron-Canton Regional Airport,P-S,"685,553"
Cincinnati,Ohio,LUK,LUK,KLUK,Cincinnati Municipal Lunken Airport,P-N,"25,706"
Cleveland,Ohio,CLE,CLE,KCLE,Cleveland-Hopkins International Airport,P-M,"4,083,476"
Columbus,Ohio,CMH,CMH,KCMH,John Glenn Columbus International Airport,P-M,"3,567,864"
Columbus,Ohio,LCK,LCK,KLCK,Rickenbacker International Airport,P-N,"102,751"
Dayton,Ohio,DAY,DAY,KDAY,James M. Cox Dayton International Airport,P-S,"1,019,922"
Toledo,Ohio,TOL,TOL,KTOL,Toledo Express Airport,P-N,"92,522"
Youngstown / Warren,Ohio,YNG,YNG,KYNG,Youngstown-Warren Regional Airport / Youngstown ARS,P-N,"53,633"
Lawton,Oklahoma,LAW,LAW,KLAW,Lawton¡VFort Sill Regional Airport,P-N,"51,088"
Oklahoma City,Oklahoma,OKC,OKC,KOKC,Will Rogers World Airport,P-S,"1,796,473"
Tulsa,Oklahoma,TUL,TUL,KTUL,Tulsa International Airport,P-S,"1,342,315"
Eugene,Oregon,EUG,EUG,KEUG,Eugene Airport (Mahlon Sweet Field),P-N,"483,224"
Medford,Oregon,MFR,MFR,KMFR,Rogue Valley International-Medford Airport,P-N,"401,469"
North Bend,Oregon,OTH,OTH,KOTH,Southwest Oregon Regional Airport (was North Bend Municipal),P-N,"14,719"
Portland,Oregon,PDX,PDX,KPDX,Portland International Airport,P-L,"9,071,154"
Redmond,Oregon,RDM,RDM,KRDM,Redmond Municipal Airport (Roberts Field),P-N,"306,517"
Allentown,Pennsylvania,ABE,ABE,KABE,Lehigh Valley International Airport (was Allentown¡VBethlehem¡VEaston International Airport),P-N,"324,511"
Erie,Pennsylvania,ERI,ERI,KERI,Erie International Airport (Tom Ridge Field),P-N,"87,647"
Harrisburg / Middletown,Pennsylvania,MDT,MDT,KMDT,Harrisburg International Airport,P-S,"589,511"
Latrobe,Pennsylvania,LBE,LBE,KLBE,Arnold Palmer Regional Airport,P-N,"146,127"
Philadelphia,Pennsylvania,PHL,PHL,KPHL,Philadelphia International Airport,P-L,"14,564,419"
Pittsburgh,Pennsylvania,PIT,PIT,KPIT,Pittsburgh International Airport,P-M,"3,986,114"
State College,Pennsylvania,UNV,SCE,KUNV,University Park Airport,P-N,"134,312"
Wilkes-Barre / Scranton,Pennsylvania,AVP,AVP,KAVP,Wilkes-Barre/Scranton International Airport,P-N,"232,855"
Williamsport,Pennsylvania,IPT,IPT,KIPT,Williamsport Regional Airport,P-N,"19,320"
Block Island / New Shoreham,Rhode Island,BID,BID,KBID,Block Island State Airport,P-N,"17,225"
